time,LE_F_MDS,LE_F_MDS_QC,H_F_MDS,H_F_MDS_QC,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,dewpoint_temperature_2m,temperature_2m,soil_temperature_level_1,snow_cover,volumetric_soil_water_layer_1,forecast_albedo,surface_latent_heat_flux_sum,surface_sensible_heat_flux_sum,surface_solar_radiation_downwards_sum,surface_thermal_radiation_downwards_sum,evaporation_from_the_top_of_canopy_sum,surface_pressure,total_precipitation_sum,temperature_2m_min,temperature_2m_max,u_component_of_wind_10m,v_component_of_wind_10m,R_Landsat8,R_MODIS,NIR_Landsat8,NIR_MODIS
1996-01-01,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-02,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-03,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-04,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-05,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-06,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-07,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-08,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-09,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-10,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-11,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-12,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-13,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-14,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
